original_index	participant	content	token	lemma	tagged_token	tagged_lemma	tagged_stan_token	tagged_stan_lemma	original_file	file
3	PA:	but we gotta do with only one line right	['but', 'we', 'got', 'ta', 'do', 'with', 'only', 'one', 'line', 'right']	['but', 'we', 'get', 'ta', 'do', 'with', 'only', 'one', 'line', 'right']	[('but', 'CC'), ('we', 'PRP'), ('got', 'VBD'), ('ta', 'NNS'), ('do', 'VB'), ('with', 'IN'), ('only', 'RB'), ('one', 'CD'), ('line', 'NN'), ('right', 'NN')]	[('but', 'CC'), ('we', 'PRP'), ('get', 'VBP'), ('ta', 'JJ'), ('do', 'VBP'), ('with', 'IN'), ('only', 'RB'), ('one', 'CD'), ('line', 'NN'), ('right', 'NN')]	[('but', 'CC'), ('we', 'PRP'), ('got', 'VBD'), ('ta', 'TO'), ('do', 'VB'), ('with', 'IN'), ('only', 'RB'), ('one', 'CD'), ('line', 'NN'), ('right', 'NN')]	[('but', 'CC'), ('we', 'PRP'), ('get', 'VBP'), ('ta', 'TO'), ('do', 'VB'), ('with', 'IN'), ('only', 'RB'), ('one', 'CD'), ('line', 'NN'), ('right', 'NN')]	ASU-T98_ExpBlock2-Caterpillar.txt	ASU-T98-ASU-T94-ExpBlock2-Caterpillar.txt
4	PA:	 are we just flinging it on the other side too  	['are', 'we', 'just', 'flinging', 'it', 'on', 'the', 'other', 'side', 'too']	['be', 'we', 'just', 'fling', 'it', 'on', 'the', 'other', 'side', 'too']	[('are', 'VBP'), ('we', 'PRP'), ('just', 'RB'), ('flinging', 'VBG'), ('it', 'PRP'), ('on', 'IN'), ('the', 'DT'), ('other', 'JJ'), ('side', 'NN'), ('too', 'RB')]	[('be', 'VB'), ('we', 'PRP'), ('just', 'RB'), ('fling', 'VBG'), ('it', 'PRP'), ('on', 'IN'), ('the', 'DT'), ('other', 'JJ'), ('side', 'NN'), ('too', 'RB')]	[('are', 'VBP'), ('we', 'PRP'), ('just', 'RB'), ('flinging', 'VBG'), ('it', 'PRP'), ('on', 'IN'), ('the', 'DT'), ('other', 'JJ'), ('side', 'NN'), ('too', 'RB')]	[('be', 'VB'), ('we', 'PRP'), ('just', 'RB'), ('fling', 'VB'), ('it', 'PRP'), ('on', 'IN'), ('the', 'DT'), ('other', 'JJ'), ('side', 'NN'), ('too', 'RB')]	ASU-T94_ExpBlock2-Caterpillar.txt	ASU-T98-ASU-T94-ExpBlock2-Caterpillar.txt
1	PB:	i have an idea so we can	['i', 'have', 'an', 'idea', 'so', 'we', 'can']	['i', 'have', 'an', 'idea', 'so', 'we', 'can']	[('i', 'NN'), ('have', 'VBP'), ('an', 'DT'), ('idea', 'NN'), ('so', 'IN'), ('we', 'PRP'), ('can', 'MD')]	[('i', 'NN'), ('have', 'VBP'), ('an', 'DT'), ('idea', 'NN'), ('so', 'IN'), ('we', 'PRP'), ('can', 'MD')]	[('i', 'LS'), ('have', 'VBP'), ('an', 'DT'), ('idea', 'NN'), ('so', 'IN'), ('we', 'PRP'), ('can', 'MD')]	[('i', 'LS'), ('have', 'VBP'), ('an', 'DT'), ('idea', 'NN'), ('so', 'IN'), ('we', 'PRP'), ('can', 'MD')]	ASU-T98_ExpBlock2-Caterpillar.txt	ASU-T98-ASU-T94-ExpBlock2-Caterpillar.txt
0	PC:	did we get this one we did get that one so we need this one	['did', 'we', 'get', 'this', 'one', 'we', 'did', 'get', 'that', 'one', 'so', 'we', 'need', 'this', 'one']	['do', 'we', 'get', 'this', 'one', 'we', 'do', 'get', 'that', 'one', 'so', 'we', 'need', 'this', 'one']	[('did', 'VBD'), ('we', 'PRP'), ('get', 'VB'), ('this', 'DT'), ('one', 'CD'), ('we', 'PRP'), ('did', 'VBD'), ('get', 'VB'), ('that', 'DT'), ('one', 'CD'), ('so', 'IN'), ('we', 'PRP'), ('need', 'VBP'), ('this', 'DT'), ('one', 'CD')]	[('do', 'VBP'), ('we', 'PRP'), ('get', 'VB'), ('this', 'DT'), ('one', 'CD'), ('we', 'PRP'), ('do', 'VBP'), ('get', 'VB'), ('that', 'IN'), ('one', 'CD'), ('so', 'IN'), ('we', 'PRP'), ('need', 'VBP'), ('this', 'DT'), ('one', 'CD')]	[('did', 'VBD'), ('we', 'PRP'), ('get', 'VB'), ('this', 'DT'), ('one', 'CD'), ('we', 'PRP'), ('did', 'VBD'), ('get', 'VB'), ('that', 'DT'), ('one', 'CD'), ('so', 'IN'), ('we', 'PRP'), ('need', 'VBP'), ('this', 'DT'), ('one', 'CD')]	[('do', 'VB'), ('we', 'PRP'), ('get', 'VB'), ('this', 'DT'), ('one', 'CD'), ('we', 'PRP'), ('do', 'VBP'), ('get', 'VB'), ('that', 'DT'), ('one', 'CD'), ('so', 'IN'), ('we', 'PRP'), ('need', 'VBP'), ('this', 'DT'), ('one', 'CD')]	ASU-T94_ExpBlock2-Caterpillar.txt	ASU-T98-ASU-T94-ExpBlock2-Caterpillar.txt
0	PC:	you guys wanna try this one it looks really hard   no no no	['you', 'guns', 'wan', 'na', 'try', 'this', 'one', 'it', 'looks', 'really', 'hard', 'no', 'no', 'no']	['you', 'gun', 'wan', 'na', 'try', 'this', 'one', 'it', 'look', 'really', 'hard', 'no', 'no', 'no']	[('you', 'PRP'), ('guns', 'VBP'), ('wan', 'JJ'), ('na', 'TO'), ('try', 'VB'), ('this', 'DT'), ('one', 'CD'), ('it', 'PRP'), ('looks', 'VBZ'), ('really', 'RB'), ('hard', 'JJ'), ('no', 'DT'), ('no', 'DT'), ('no', 'DT')]	[('you', 'PRP'), ('gun', 'VBP'), ('wan', 'JJ'), ('na', 'TO'), ('try', 'VB'), ('this', 'DT'), ('one', 'CD'), ('it', 'PRP'), ('look', 'VBZ'), ('really', 'RB'), ('hard', 'JJ'), ('no', 'DT'), ('no', 'DT'), ('no', 'DT')]	[('you', 'PRP'), ('guns', 'NNS'), ('wan', 'VBP'), ('na', 'TO'), ('try', 'VB'), ('this', 'DT'), ('one', 'CD'), ('it', 'PRP'), ('looks', 'VBZ'), ('really', 'RB'), ('hard', 'JJ'), ('no', 'DT'), ('no', 'DT'), ('no', 'DT')]	[('you', 'PRP'), ('gun', 'NN'), ('wan', 'NN'), ('na', 'TO'), ('try', 'VB'), ('this', 'DT'), ('one', 'CD'), ('it', 'PRP'), ('look', 'VB'), ('really', 'RB'), ('hard', 'JJ'), ('no', 'DT'), ('no', 'DT'), ('no', 'DT')]	ASU-T98_ExpBlock2-Caterpillar.txt	ASU-T98-ASU-T94-ExpBlock2-Caterpillar.txt
1	PD:	think ahead it says	['think', 'ahead', 'it', 'says']	['think', 'ahead', 'it', 'say']	[('think', 'NN'), ('ahead', 'RB'), ('it', 'PRP'), ('says', 'VBZ')]	[('think', 'NN'), ('ahead', 'RB'), ('it', 'PRP'), ('say', 'VBP')]	[('think', 'VB'), ('ahead', 'RB'), ('it', 'PRP'), ('says', 'VBZ')]	[('think', 'VB'), ('ahead', 'RB'), ('it', 'PRP'), ('say', 'VB')]	ASU-T94_ExpBlock2-Caterpillar.txt	ASU-T98-ASU-T94-ExpBlock2-Caterpillar.txt
6	PA:	space pardon control and delete no here we go what a guy bringing it back	['space', 'pardon', 'control', 'and', 'delete', 'no', 'here', 'we', 'go', 'what', 'a', 'guy', 'bringing', 'it', 'back']	['space', 'pardon', 'control', 'and', 'delete', 'no', 'here', 'we', 'go', 'what', 'a', 'guy', 'bring', 'it', 'back']	[('space', 'NN'), ('pardon', 'NN'), ('control', 'NN'), ('and', 'CC'), ('delete', 'JJ'), ('no', 'DT'), ('here', 'RB'), ('we', 'PRP'), ('go', 'VBP'), ('what', 'WP'), ('a', 'DT'), ('guy', 'NN'), ('bringing', 'VBG'), ('it', 'PRP'), ('back', 'RB')]	[('space', 'NN'), ('pardon', 'NN'), ('control', 'NN'), ('and', 'CC'), ('delete', 'JJ'), ('no', 'DT'), ('here', 'RB'), ('we', 'PRP'), ('go', 'VBP'), ('what', 'WP'), ('a', 'DT'), ('guy', 'NN'), ('bring', 'NN'), ('it', 'PRP'), ('back', 'RP')]	[('space', 'NN'), ('pardon', 'NN'), ('control', 'NN'), ('and', 'CC'), ('delete', 'VB'), ('no', 'DT'), ('here', 'RB'), ('we', 'PRP'), ('go', 'VBP'), ('what', 'WP'), ('a', 'DT'), ('guy', 'NN'), ('bringing', 'VBG'), ('it', 'PRP'), ('back', 'RB')]	[('space', 'NN'), ('pardon', 'NN'), ('control', 'NN'), ('and', 'CC'), ('delete', 'VB'), ('no', 'DT'), ('here', 'RB'), ('we', 'PRP'), ('go', 'VBP'), ('what', 'WP'), ('a', 'DT'), ('guy', 'NN'), ('bring', 'VB'), ('it', 'PRP'), ('back', 'RB')]	ASU-T98_ExpBlock2-Caterpillar.txt	ASU-T98-ASU-T94-ExpBlock2-Caterpillar.txt
20	PA:	 that one looks good	['that', 'one', 'looks', 'good']	['that', 'one', 'look', 'good']	[('that', 'DT'), ('one', 'CD'), ('looks', 'VBZ'), ('good', 'JJ')]	[('that', 'DT'), ('one', 'CD'), ('look', 'NN'), ('good', 'JJ')]	[('that', 'IN'), ('one', 'CD'), ('looks', 'VBZ'), ('good', 'JJ')]	[('that', 'IN'), ('one', 'CD'), ('look', 'NN'), ('good', 'JJ')]	ASU-T94_ExpBlock2-Caterpillar.txt	ASU-T98-ASU-T94-ExpBlock2-Caterpillar.txt
4	PB:	well it says it's few i think if we kinda like build a ladder using those two dots kinda like what we did with the first one and then just a little ramp down to the little like ramp down to the balloon once we get up there that might work but i don't know if we can get a gold with that 'cause i feel like you would take a lot to get over there unless you could catapult it the little ball up	['well', 'it', 'says', 'it', 'is', 'few', 'i', 'think', 'if', 'we', 'kind', 'like', 'build', 'a', 'ladder', 'using', 'those', 'two', 'dots', 'kind', 'like', 'what', 'we', 'did', 'with', 'the', 'first', 'one', 'and', 'then', 'just', 'a', 'little', 'camp', 'down', 'to', 'the', 'little', 'like', 'camp', 'down', 'to', 'the', 'balloon', 'once', 'we', 'get', 'up', 'there', 'that', 'might', 'work', 'but', 'i', 'do', 'not', 'know', 'if', 'we', 'can', 'get', 'a', 'gold', 'with', 'that', 'because', 'i', 'feel', 'like', 'you', 'would', 'take', 'a', 'lot', 'to', 'get', 'over', 'there', 'unless', 'you', 'could', 'catapult', 'it', 'the', 'little', 'ball', 'up']	['well', 'it', 'say', 'it', 'be', 'few', 'i', 'think', 'if', 'we', 'kind', 'like', 'build', 'a', 'ladder', 'use', 'those', 'two', 'dot', 'kind', 'like', 'what', 'we', 'do', 'with', 'the', 'first', 'one', 'and', 'then', 'just', 'a', 'little', 'camp', 'down', 'to', 'the', 'little', 'like', 'camp', 'down', 'to', 'the', 'balloon', 'once', 'we', 'get', 'up', 'there', 'that', 'might', 'work', 'but', 'i', 'do', 'not', 'know', 'if', 'we', 'can', 'get', 'a', 'gold', 'with', 'that', 'because', 'i', 'feel', 'like', 'you', 'would', 'take', 'a', 'lot', 'to', 'get', 'over', 'there', 'unless', 'you', 'could', 'catapult', 'it', 'the', 'little', 'ball', 'up']	[('well', 'RB'), ('it', 'PRP'), ('says', 'VBZ'), ('it', 'PRP'), ('is', 'VBZ'), ('few', 'JJ'), ('i', 'NNS'), ('think', 'VBP'), ('if', 'IN'), ('we', 'PRP'), ('kind', 'NN'), ('like', 'IN'), ('build', 'VB'), ('a', 'DT'), ('ladder', 'NN'), ('using', 'VBG'), ('those', 'DT'), ('two', 'CD'), ('dots', 'NNS'), ('kind', 'NN'), ('like', 'IN'), ('what', 'WP'), ('we', 'PRP'), ('did', 'VBD'), ('with', 'IN'), ('the', 'DT'), ('first', 'JJ'), ('one', 'CD'), ('and', 'CC'), ('then', 'RB'), ('just', 'RB'), ('a', 'DT'), ('little', 'JJ'), ('camp', 'NN'), ('down', 'RB'), ('to', 'TO'), ('the', 'DT'), ('little', 'JJ'), ('like', 'IN'), ('camp', 'VBG'), ('down', 'RB'), ('to', 'TO'), ('the', 'DT'), ('balloon', 'NN'), ('once', 'IN'), ('we', 'PRP'), ('get', 'VBP'), ('up', 'RB'), ('there', 'RB'), ('that', 'IN'), ('might', 'MD'), ('work', 'VB'), ('but', 'CC'), ('i', 'VB'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('if', 'IN'), ('we', 'PRP'), ('can', 'MD'), ('get', 'VB'), ('a', 'DT'), ('gold', 'NN'), ('with', 'IN'), ('that', 'DT'), ('because', 'IN'), ('i', 'JJ'), ('feel', 'VBP'), ('like', 'IN'), ('you', 'PRP'), ('would', 'MD'), ('take', 'VB'), ('a', 'DT'), ('lot', 'NN'), ('to', 'TO'), ('get', 'VB'), ('over', 'IN'), ('there', 'RB'), ('unless', 'IN'), ('you', 'PRP'), ('could', 'MD'), ('catapult', 'VB'), ('it', 'PRP'), ('the', 'DT'), ('little', 'JJ'), ('ball', 'NN'), ('up', 'RP')]	[('well', 'RB'), ('it', 'PRP'), ('say', 'VB'), ('it', 'PRP'), ('be', 'VB'), ('few', 'JJ'), ('i', 'JJ'), ('think', 'VBP'), ('if', 'IN'), ('we', 'PRP'), ('kind', 'NN'), ('like', 'IN'), ('build', 'VB'), ('a', 'DT'), ('ladder', 'NN'), ('use', 'NN'), ('those', 'DT'), ('two', 'CD'), ('dot', 'VBP'), ('kind', 'NN'), ('like', 'IN'), ('what', 'WP'), ('we', 'PRP'), ('do', 'VBP'), ('with', 'IN'), ('the', 'DT'), ('first', 'JJ'), ('one', 'CD'), ('and', 'CC'), ('then', 'RB'), ('just', 'RB'), ('a', 'DT'), ('little', 'JJ'), ('camp', 'NN'), ('down', 'RB'), ('to', 'TO'), ('the', 'DT'), ('little', 'JJ'), ('like', 'IN'), ('camp', 'VBG'), ('down', 'RB'), ('to', 'TO'), ('the', 'DT'), ('balloon', 'NN'), ('once', 'IN'), ('we', 'PRP'), ('get', 'VBP'), ('up', 'RB'), ('there', 'RB'), ('that', 'IN'), ('might', 'MD'), ('work', 'VB'), ('but', 'CC'), ('i', 'VB'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('if', 'IN'), ('we', 'PRP'), ('can', 'MD'), ('get', 'VB'), ('a', 'DT'), ('gold', 'NN'), ('with', 'IN'), ('that', 'DT'), ('because', 'IN'), ('i', 'JJ'), ('feel', 'VBP'), ('like', 'IN'), ('you', 'PRP'), ('would', 'MD'), ('take', 'VB'), ('a', 'DT'), ('lot', 'NN'), ('to', 'TO'), ('get', 'VB'), ('over', 'IN'), ('there', 'RB'), ('unless', 'IN'), ('you', 'PRP'), ('could', 'MD'), ('catapult', 'VB'), ('it', 'PRP'), ('the', 'DT'), ('little', 'JJ'), ('ball', 'NN'), ('up', 'RP')]	[('well', 'RB'), ('it', 'PRP'), ('says', 'VBZ'), ('it', 'PRP'), ('is', 'VBZ'), ('few', 'JJ'), ('i', 'FW'), ('think', 'VBP'), ('if', 'IN'), ('we', 'PRP'), ('kind', 'RB'), ('like', 'VBP'), ('build', 'VB'), ('a', 'DT'), ('ladder', 'NN'), ('using', 'VBG'), ('those', 'DT'), ('two', 'CD'), ('dots', 'NNS'), ('kind', 'NN'), ('like', 'IN'), ('what', 'WP'), ('we', 'PRP'), ('did', 'VBD'), ('with', 'IN'), ('the', 'DT'), ('first', 'JJ'), ('one', 'CD'), ('and', 'CC'), ('then', 'RB'), ('just', 'RB'), ('a', 'DT'), ('little', 'JJ'), ('camp', 'NN'), ('down', 'IN'), ('to', 'TO'), ('the', 'DT'), ('little', 'JJ'), ('like', 'IN'), ('camp', 'NN'), ('down', 'IN'), ('to', 'TO'), ('the', 'DT'), ('balloon', 'NN'), ('once', 'IN'), ('we', 'PRP'), ('get', 'VBP'), ('up', 'RB'), ('there', 'RB'), ('that', 'IN'), ('might', 'MD'), ('work', 'VB'), ('but', 'CC'), ('i', 'FW'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('if', 'IN'), ('we', 'PRP'), ('can', 'MD'), ('get', 'VB'), ('a', 'DT'), ('gold', 'NN'), ('with', 'IN'), ('that', 'DT'), ('because', 'IN'), ('i', 'FW'), ('feel', 'VB'), ('like', 'IN'), ('you', 'PRP'), ('would', 'MD'), ('take', 'VB'), ('a', 'DT'), ('lot', 'NN'), ('to', 'TO'), ('get', 'VB'), ('over', 'IN'), ('there', 'EX'), ('unless', 'IN'), ('you', 'PRP'), ('could', 'MD'), ('catapult', 'VB'), ('it', 'PRP'), ('the', 'DT'), ('little', 'JJ'), ('ball', 'NN'), ('up', 'IN')]	[('well', 'RB'), ('it', 'PRP'), ('say', 'VB'), ('it', 'PRP'), ('be', 'VB'), ('few', 'JJ'), ('i', 'FW'), ('think', 'VBP'), ('if', 'IN'), ('we', 'PRP'), ('kind', 'RB'), ('like', 'VBP'), ('build', 'VB'), ('a', 'DT'), ('ladder', 'NN'), ('use', 'VB'), ('those', 'DT'), ('two', 'CD'), ('dot', 'NN'), ('kind', 'NN'), ('like', 'IN'), ('what', 'WP'), ('we', 'PRP'), ('do', 'VBP'), ('with', 'IN'), ('the', 'DT'), ('first', 'JJ'), ('one', 'CD'), ('and', 'CC'), ('then', 'RB'), ('just', 'RB'), ('a', 'DT'), ('little', 'JJ'), ('camp', 'NN'), ('down', 'IN'), ('to', 'TO'), ('the', 'DT'), ('little', 'JJ'), ('like', 'IN'), ('camp', 'NN'), ('down', 'IN'), ('to', 'TO'), ('the', 'DT'), ('balloon', 'NN'), ('once', 'IN'), ('we', 'PRP'), ('get', 'VBP'), ('up', 'RB'), ('there', 'RB'), ('that', 'IN'), ('might', 'MD'), ('work', 'VB'), ('but', 'CC'), ('i', 'FW'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('if', 'IN'), ('we', 'PRP'), ('can', 'MD'), ('get', 'VB'), ('a', 'DT'), ('gold', 'NN'), ('with', 'IN'), ('that', 'DT'), ('because', 'IN'), ('i', 'FW'), ('feel', 'VB'), ('like', 'IN'), ('you', 'PRP'), ('would', 'MD'), ('take', 'VB'), ('a', 'DT'), ('lot', 'NN'), ('to', 'TO'), ('get', 'VB'), ('over', 'IN'), ('there', 'EX'), ('unless', 'IN'), ('you', 'PRP'), ('could', 'MD'), ('catapult', 'VB'), ('it', 'PRP'), ('the', 'DT'), ('little', 'JJ'), ('ball', 'NN'), ('up', 'IN')]	ASU-T98_ExpBlock2-Caterpillar.txt	ASU-T98-ASU-T94-ExpBlock2-Caterpillar.txt
2	PC:	 that's 	['that', 'is']	['that', 'be']	[('that', 'DT'), ('is', 'VBZ')]	[('that', 'DT'), ('be', 'VB')]	[('that', 'DT'), ('is', 'VBZ')]	[('that', 'IN'), ('be', 'VB')]	ASU-T94_ExpBlock2-Caterpillar.txt	ASU-T98-ASU-T94-ExpBlock2-Caterpillar.txt
